index,indice_propio,porc_SUEL,porc_DOSE,porc_CONS,porc_EDIF,grupo
8c4cd42eb152dff,H0051,4.193880718856221,0,94.63324221081007,1.1728770703337137,CONS
8c4cd42eb150bff,H0052,33.09778259963533,0,11.686551925062489,55.21566547530218,CONS
8c4cd42eb1557ff,H0053,31.451075383334803,15.122964765493485,53.42595985117171,0,CONS
8c4cd42eb1553ff,H0054,0,0,100,0,CONS
8c4cd42eb1453ff,H0055,0,0,100,0,CONS
8c4cd42eb16adff,H0056,0,70.0045135357405,29.995486464259503,0,DOSE
8c4cd42eb16a9ff,H0057,14.817753608173877,73.75195577436654,11.430290617459578,0,DOSE
8c4cd42eb1685ff,H0058,51.5683382144102,48.43166178558981,0,0,SUEL
8c4cd42eb1681ff,H0059,100,0,0,0,SUEL
8c4cd42eb168bff,H0060,100,0,0,0,SUEL
8c4cd42eb16d7ff,H0061,100,0,0,0,SUEL
8c4cd42eb16d3ff,H0062,88.65830732679211,0,11.066707682115434,0.27498499109245916,SUEL
8c4cd42ebb9adff,H0063,2.224770263421762,0,31.404300837892634,66.3709288986856,CONS
8c4cd42eb021dff,H0064,100,0,0,0,SUEL
8c4cd42eb0219ff,H0065,44.04902198949731,0,46.393375652641375,9.557602357861319,SUEL
8c4cd42eb151dff,H0066,53.227685649208745,0,0,46.77231435079126,CONS
8c4cd42eb1519ff,H0067,24.63160538974565,5.693832864128007,69.67456174612634,0,CONS
8c4cd42eb1425ff,H0068,0,0,82.40303303294283,17.596966967057174,CONS
8c4cd42eb141dff,H0069,0,0,100,0,CONS
8c4cd42eb1419ff,H0070,32.95415230395227,1.2388134119638428,65.80703428408388,0,CONS
8c4cd42eb16a5ff,H0071,1.303123856586169,79.70489438432658,18.99198175908725,0,DOSE
8c4cd42eb16a1ff,H0072,71.51889560407632,28.48110439592368,0,0,SUEL
8c4cd42eb16abff,H0073,100,0,0,0,SUEL
8c4cd42eb1687ff,H0074,100,0,0,0,SUEL
8c4cd42eb1683ff,H0075,100,0,0,0,SUEL
8c4cd42eb169dff,H0076,100,0,0,0,SUEL
8c4cd42eb1699ff,H0077,100,0,0,0,SUEL
8c4cd42ebb9a5ff,H0078,85.58480370594565,0,12.046805498840035,2.3683907952143235,SUEL
8c4cd42ebb9a1ff,H0079,22.587572837918234,0,77.41242716208177,0,CONS
8c4cd42eb0239ff,H0080,47.26297187707847,52.73702812292154,0,0,DOSE
8c4cd42eb0215ff,H0081,77.91300244313466,5.641399878882329,0,16.445597677983006,SUEL
8c4cd42eb1511ff,H0082,50.464893734516494,30.569736511953767,0,18.965369753529746,SUEL
8c4cd42eb151bff,H0083,0.12818473090148802,12.346231787443312,87.5255834816552,0,CONS
8c4cd42eb1427ff,H0084,0,0,98.05654557277245,1.943454427227541,CONS
8c4cd42eb1423ff,H0085,0,0,76.99091779090946,23.009082209090543,CONS
8c4cd42eb143dff,H0086,0,0,78.17864235962759,21.82135764037241,CONS
8c4cd42eb1439ff,H0087,0.19584205616482928,0,95.84677273611351,3.957385207721679,CONS
8c4cd42eb1415ff,H0088,37.95943972921304,8.00498983012049,54.03557044066648,0,CONS
